input,output
Is there any Niralasa Mini Waffle Maker 4 Inch- 350 Watts: Stainless Steel Non-Stick Electric Iron Machine for Individual Belgian Waffl... available for less than 1299.0?,"product name: Niralasa Mini Waffle Maker 4 Inch- 350 Watts: Stainless Steel Non-Stick Electric Iron Machine for Individual Belgian Waffl..., price: 1299.0"
Do you have a Havells Sprint Hs 110 W 3 Blade Pedestal Fan Fhssphswht16 for under 5180.0?,"product name: Havells Sprint Hs 110 W 3 Blade Pedestal Fan Fhssphswht16, price: 5180.0"
"Can you find me a Havells Gracia Alkaline 6.5 Litre RO + UV Purified Alkaline, Hot and Ambient Water Purifier with 8 Stages (Silver and Black) for a price below 32999.0?","product name: Havells Gracia Alkaline 6.5 Litre RO + UV Purified Alkaline, Hot and Ambient Water Purifier with 8 Stages (Silver and Black), price: 32999.0"
"Please help me find a RASTVI Fan Dust Cover Standing Round, Dust Proof Cover Washable and Reusable, Fan Protective Cover Electric Fan Guard, Pro... that costs below 599.0.","product name: RASTVI Fan Dust Cover Standing Round, Dust Proof Cover Washable and Reusable, Fan Protective Cover Electric Fan Guard, Pro..., price: 599.0"
"I'm interested in buying a RiverSoft Sedpads-K-20 Sediment Filter Pads for Kent Gravity Filters | Compatible with Kent Gold, Kent Gold Plus (White, P.... It should be priced under 1999.0.","product name: RiverSoft Sedpads-K-20 Sediment Filter Pads for Kent Gravity Filters | Compatible with Kent Gold, Kent Gold Plus (White, P..., price: 1999.0"
I'm interested in buying a INKULTURE Stainless_Steel Measuring Cups & Spoon Combo for Dry or Liquid/Kitchen Gadgets for Cooking & Baking Cakes/Measur.... It should be priced under 749.0.,"product name: INKULTURE Stainless_Steel Measuring Cups & Spoon Combo for Dry or Liquid/Kitchen Gadgets for Cooking & Baking Cakes/Measur..., price: 749.0"
"I need a AGARO Royal Professional Blender/Grinder/Mixer, 2000W, 5 Preset Function, Commercial heavy duty blender, High Power & Spee.... It should cost less than 15990.0.","product name: AGARO Royal Professional Blender/Grinder/Mixer, 2000W, 5 Preset Function, Commercial heavy duty blender, High Power & Spee..., price: 15990.0"
I need a Eureka Forbes Trendy Wet and Dry DX1150-Watt Powerful Suction and Blower Function Vacuum Cleaner (Black and Red). It should cost less than 12500.0.,"product name: Eureka Forbes Trendy Wet and Dry DX1150-Watt Powerful Suction and Blower Function Vacuum Cleaner (Black and Red), price: 12500.0"
I need a AVZEEGO Adjustable Top Load Washing Machine Stand Washing Machine Stands Fridge Stand Dishwasher Stand Refrigerator Trolle.... It should cost less than 999.0.,"product name: AVZEEGO Adjustable Top Load Washing Machine Stand Washing Machine Stands Fridge Stand Dishwasher Stand Refrigerator Trolle..., price: 999.0"
"I would like to get a Absorbia Moisture Absorber| Absorbia Hanging Pouch 440 gms | Absorption Capacity 1000ml each | Dehumidifier for Wardrobe, .... The cost should not exceed 219.0.","product name: Absorbia Moisture Absorber| Absorbia Hanging Pouch 440 gms | Absorption Capacity 1000ml each | Dehumidifier for Wardrobe, ..., price: 219.0"
"Can you find me a HEWA 4 inch (100mm) 100% copper Ventilation Exhaust fan for kitchen, bathroom, office for a price below 1049.0?","product name: HEWA 4 inch (100mm) 100% copper Ventilation Exhaust fan for kitchen, bathroom, office, price: 1049.0"
Please help me find a Dialust Non Stick Coated Sandwich Toaster for Big Size Jumbo Bread for Kitchen Non Electric Sandwich Maker Machine Gas Sto... that costs below 1199.0.,"product name: Dialust Non Stick Coated Sandwich Toaster for Big Size Jumbo Bread for Kitchen Non Electric Sandwich Maker Machine Gas Sto..., price: 1199.0"
I would like to get a Nirali Foam Bottle for Pressure Washer Car Wash Foam Cannon. The cost should not exceed 799.0.,"product name: Nirali Foam Bottle for Pressure Washer Car Wash Foam Cannon, price: 799.0"
"Please help me find a WATERTECH SYSTEMS Swimming Pool Water Purifier Dose Chlorine TCCA90 granules (5kg Pack, Granular 5-8 mesh) that costs below 3600.0.","product name: WATERTECH SYSTEMS Swimming Pool Water Purifier Dose Chlorine TCCA90 granules (5kg Pack, Granular 5-8 mesh), price: 3600.0"
I need a Aquasave RR1 Auto Cut. It should cost less than 1800.0.,"product name: Aquasave RR1 Auto Cut, price: 1800.0"
Can you find me a Kitchen Mart Micro Fibre mesh Compatible with Pureit Classic 23 Ltrs/Autofill 23 Ltrs Water Purifier for a price below 499.0?,"product name: Kitchen Mart Micro Fibre mesh Compatible with Pureit Classic 23 Ltrs/Autofill 23 Ltrs Water Purifier, price: 499.0"
"I would like to get a RSNR (2PCS) THREE SPEED ROTARY SWITCH FOR SYMPHONY COOLER FOR USHA STELLER/USHA ZX PERSONAL COOLER PUSH IN TYPES (3 SPEED,.... The cost should not exceed 449.0.","product name: RSNR (2PCS) THREE SPEED ROTARY SWITCH FOR SYMPHONY COOLER FOR USHA STELLER/USHA ZX PERSONAL COOLER PUSH IN TYPES (3 SPEED,..., price: 449.0"
"I wish to buy a ANNA KITEX Aluminium Chakson DLX Choodarapetty Aluminum Pot Thermal Rice Cooker, Red, 1.5 Kg, Capacity 7 Liters. My price limit is 2400.0.","product name: ANNA KITEX Aluminium Chakson DLX Choodarapetty Aluminum Pot Thermal Rice Cooker, Red, 1.5 Kg, Capacity 7 Liters, price: 2400.0"
"I'm looking to buy a Groki Polyester Combo of Exclusive Decorative Fridge Top Cover, 2 Fridge Handle Covers + 3 Fridge Mats (6 Piece Set)- Silver. My budget is under 539.0.","product name: Groki Polyester Combo of Exclusive Decorative Fridge Top Cover, 2 Fridge Handle Covers + 3 Fridge Mats (6 Piece Set)- Silver, price: 539.0"
Can you find me a Shopo (Labal) Arura Professional Mini Digital Jewellery Weighing Scale Machine (500 g x 0.1 g) (Black-Silver) for a price below 899.0?,"product name: Shopo (Labal) Arura Professional Mini Digital Jewellery Weighing Scale Machine (500 g x 0.1 g) (Black-Silver), price: 899.0"
"Do you have a Polycab Etira 5Ltr 3 Kw Electric Instant Water Heater (Geyser) with Anti rust tank, powerful heating element, multiple lay... for under 5000.0?","product name: Polycab Etira 5Ltr 3 Kw Electric Instant Water Heater (Geyser) with Anti rust tank, powerful heating element, multiple lay..., price: 5000.0"
Is there any J K b K - Induction Cooker Glass Plate - Square Shape - 25 x 25 cm available for less than 999.0?,"product name: J K b K - Induction Cooker Glass Plate - Square Shape - 25 x 25 cm, price: 999.0"
I'm interested in buying a MR NOMO Fridge & Refrigerator Odor & Remover Gel | Remove Nasty Smell from your Fridge & Refrigerator | Natural Seaweed fo.... It should be priced under 398.0.,"product name: MR NOMO Fridge & Refrigerator Odor & Remover Gel | Remove Nasty Smell from your Fridge & Refrigerator | Natural Seaweed fo..., price: 398.0"
Is there any Prestige Magic Dry Iron - PDI 07 available for less than 1025.0?,"product name: Prestige Magic Dry Iron - PDI 07, price: 1025.0"
Can you find me a Arvika Sales Freezer Door Compatible with Godrej Edge Pro Refrigerator Clear(190-210 L) for a price below 1050.0?,"product name: Arvika Sales Freezer Door Compatible with Godrej Edge Pro Refrigerator Clear(190-210 L), price: 1050.0"
"I wish to buy a QMart Reversible Airflow Ventilation 2 in 1 Exhaust Fan for Home,Kitchen,Basement,Bathroom,Hotels,Restaurant With Female P.... My price limit is 1999.0.","product name: QMart Reversible Airflow Ventilation 2 in 1 Exhaust Fan for Home,Kitchen,Basement,Bathroom,Hotels,Restaurant With Female P..., price: 1999.0"
"I'm looking to buy a Candes Crystal 4kVA Working Range (170V to 280V) Voltage Stabilizer Best for Inverter AC, Split AC or Windows AC Upto 1.5 .... My budget is under 3399.0.","product name: Candes Crystal 4kVA Working Range (170V to 280V) Voltage Stabilizer Best for Inverter AC, Split AC or Windows AC Upto 1.5 ..., price: 3399.0"
"Is there any RULIK Water Spray Gun 25 ft Hose Pipe- House, Garden & car wash Hose Pipe available for less than 899.0?","product name: RULIK Water Spray Gun 25 ft Hose Pipe- House, Garden & car wash Hose Pipe, price: 899.0"
"I'm interested in buying a NEXTIC Slip Resistant Foam Cannon Pro for Bosch Aquatak Pressure Washer - Original Wide Neck, Wide Base Heavy Duty Foam Gu.... It should be priced under 4999.0.","product name: NEXTIC Slip Resistant Foam Cannon Pro for Bosch Aquatak Pressure Washer - Original Wide Neck, Wide Base Heavy Duty Foam Gu..., price: 4999.0"
"I'm looking to buy a Usha Bloom Daffodil Goodbye Dust Ceiling Fan 1250mm, Sparkle Red and Black. My budget is under 4995.0.","product name: Usha Bloom Daffodil Goodbye Dust Ceiling Fan 1250mm, Sparkle Red and Black, price: 4995.0"
"I wish to buy a TDA Electronic Stainless Steel Digital Kitchen Scale Weighing Machine for Food, Baking Cooking for Home with LCD Screen up.... My price limit is 1349.0.","product name: TDA Electronic Stainless Steel Digital Kitchen Scale Weighing Machine for Food, Baking Cooking for Home with LCD Screen up..., price: 1349.0"
"I would like to get a Cafe JEI French Press Coffee and Black Tea Maker 1000ml with Advanced Filtration System, Double Wall Stainless Steel Body.... The cost should not exceed 6000.0.","product name: Cafe JEI French Press Coffee and Black Tea Maker 1000ml with Advanced Filtration System, Double Wall Stainless Steel Body..., price: 6000.0"
Can you find me a Pringle Juiceman | Centrifugal Juicer | Juicer 500 Watt | Home and Kitchen | Wide Mouth & 2 Speed & Pulse Function |Stainl... for a price below 4770.0?,"product name: Pringle Juiceman | Centrifugal Juicer | Juicer 500 Watt | Home and Kitchen | Wide Mouth & 2 Speed & Pulse Function |Stainl..., price: 4770.0"
"Do you have a Samsung 8.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (WT85B4200GG/TL, Light Grey, Air turbo drying) for under 17700.0?","product name: Samsung 8.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (WT85B4200GG/TL, Light Grey, Air turbo drying), price: 17700.0"
I'm interested in buying a HGR Creation Air Portable Conditioner Air Cooler Humidifier Purifier Mini Cooler air cooler USB Air Cooler (HGR Air Cooler.... It should be priced under 2999.0.,"product name: HGR Creation Air Portable Conditioner Air Cooler Humidifier Purifier Mini Cooler air cooler USB Air Cooler (HGR Air Cooler..., price: 2999.0"
"Can you find me a Basketo Waterproof Folding AC Covers for Split 1 ton ,Ac cover for indoor and outdoor unit of 1 ton ac waterproof and dust... for a price below 449.0?","product name: Basketo Waterproof Folding AC Covers for Split 1 ton ,Ac cover for indoor and outdoor unit of 1 ton ac waterproof and dust..., price: 449.0"
I would like to get a GLEN 60 cm 1050m3/hr Auto-Clean curved glass Kitchen Chimney Filterless Motion Sensor Touch Controls (Senza Black). The cost should not exceed 20995.0.,"product name: GLEN 60 cm 1050m3/hr Auto-Clean curved glass Kitchen Chimney Filterless Motion Sensor Touch Controls (Senza Black), price: 20995.0"
I'm looking to buy a MANOGYAM Digital Kitchen Scale | Kitchen Scale | Kitchen Weighing Machine | Kitchen Food Scale for Cooking | Electronic Ki.... My budget is under 515.0.,"product name: MANOGYAM Digital Kitchen Scale | Kitchen Scale | Kitchen Weighing Machine | Kitchen Food Scale for Cooking | Electronic Ki..., price: 515.0"
"Is there any ASMAKM,, Portable USB JUICER Electric USB Juice Maker Mixer Bottle Blender Grinder Mixer,4 Blades Rechargeable Bottle, Sha... available for less than 999.0?","product name: ASMAKM,, Portable USB JUICER Electric USB Juice Maker Mixer Bottle Blender Grinder Mixer,4 Blades Rechargeable Bottle, Sha..., price: 999.0"
"Can you find me a Usha Bloom Daffodil Goodbye Dust Ceiling Fan 1250mm, Sparkle Red and Black for a price below 4995.0?","product name: Usha Bloom Daffodil Goodbye Dust Ceiling Fan 1250mm, Sparkle Red and Black, price: 4995.0"
"Is there any Elica 60 cm 1350 m3/hr Filterless Auto Clean Angular Chimney with 15 Years Warranty (EFL 108 HAC LTW VMS 60, Touch + Palm ... available for less than 38990.0?","product name: Elica 60 cm 1350 m3/hr Filterless Auto Clean Angular Chimney with 15 Years Warranty (EFL 108 HAC LTW VMS 60, Touch + Palm ..., price: 38990.0"
"I'm looking to buy a ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer, Rechargeable Bottle with 4 Blades (MULTII). My budget is under 2199.0.","product name: ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer, Rechargeable Bottle with 4 Blades (MULTII), price: 2199.0"
I'm looking to buy a Stylista Washing Machine Cover Compatible for LG 7 kg FH0B8QDL22 Front Load Waterproof & Dustproof. My budget is under 999.0.,"product name: Stylista Washing Machine Cover Compatible for LG 7 kg FH0B8QDL22 Front Load Waterproof & Dustproof, price: 999.0"
"I need a Kitchenif Digital Ice Cream Sorbet Slush & Frozen Yoghurt Maker (1.5 Ltr), White. It should cost less than 5990.0.","product name: Kitchenif Digital Ice Cream Sorbet Slush & Frozen Yoghurt Maker (1.5 Ltr), White, price: 5990.0"
I wish to buy a Kuber Industries Disney Team Mickey Round Non Wovan Laundry Basket with Lid & Handles|Collapsibal Material|Durable Stiched.... My price limit is 249.0.,"product name: Kuber Industries Disney Team Mickey Round Non Wovan Laundry Basket with Lid & Handles|Collapsibal Material|Durable Stiched..., price: 249.0"
Do you have a Blue Star Aristo RO+UV+UF+Mineral Water Purifier with Pre Filter & Aqua Mineral Infuser Technology 7L|8 Stage Purificatio... for under 14490.0?,"product name: Blue Star Aristo RO+UV+UF+Mineral Water Purifier with Pre Filter & Aqua Mineral Infuser Technology 7L|8 Stage Purificatio..., price: 14490.0"
"I'm looking to buy a Tesora - Inspired by you Digital Air Fryer Oven-Replaces OTG, Oven, Air Fryer, Toaster, Rotisserie, 14.5 L, 360° Turbo Hot.... My budget is under 18500.0.","product name: Tesora - Inspired by you Digital Air Fryer Oven-Replaces OTG, Oven, Air Fryer, Toaster, Rotisserie, 14.5 L, 360° Turbo Hot..., price: 18500.0"
"I'm interested in buying a Digitara Electric Egg Boiler, Egg Cooker, Egg Poacher, Multifunction Chicken Shape Rapid Egg Boiler, 7 Egg Capacity Automa.... It should be priced under 1999.0.","product name: Digitara Electric Egg Boiler, Egg Cooker, Egg Poacher, Multifunction Chicken Shape Rapid Egg Boiler, 7 Egg Capacity Automa..., price: 1999.0"
Do you have a Everest ABS Body EPS 50 Voltage Stabilizer Used for Single Door Refrigerator (Grey Colour) (Working Range : 130 V - 290 V) for under 2200.0?,"product name: Everest ABS Body EPS 50 Voltage Stabilizer Used for Single Door Refrigerator (Grey Colour) (Working Range : 130 V - 290 V), price: 2200.0"
I wish to buy a PYU Tap Guard Water Purifier Faucet Tap Kitchen & Wash Basin Water Filter. My price limit is 999.0.,"product name: PYU Tap Guard Water Purifier Faucet Tap Kitchen & Wash Basin Water Filter, price: 999.0"
I want to purchase a DLZY Auto Cool Solar Powered Ventilation Exhaust Fan for Car Window with Air Vent. The price should be no more than 999.0.,"product name: DLZY Auto Cool Solar Powered Ventilation Exhaust Fan for Car Window with Air Vent, price: 999.0"
"Is there any Konvio Neer Stainless Steel Inlet Valve/Connector, 1/4"" (6mm) Connection, Teflon Tape with 1/4"" Pipe For RO/UV/Water Filte... available for less than 499.0?","product name: Konvio Neer Stainless Steel Inlet Valve/Connector, 1/4"" (6mm) Connection, Teflon Tape with 1/4"" Pipe For RO/UV/Water Filte..., price: 499.0"
I'm interested in buying a Shampoo Foam Spray Gun for Washing and Cleaning Air Assisted Sprayer. It should be priced under 2499.0.,"product name: Shampoo Foam Spray Gun for Washing and Cleaning Air Assisted Sprayer, price: 2499.0"
Is there any Butterfly Desire Mixer Grinder with 4 Jars (Red and White) available for less than 11814.0?,"product name: Butterfly Desire Mixer Grinder with 4 Jars (Red and White), price: 11814.0"
I'm looking to buy a Boston Fieldstar High Pressure Washer Power Jet Wash Cleaner 12V Pump Electric Car Wheel Wash Kit. My budget is under 4000.0.,"product name: Boston Fieldstar High Pressure Washer Power Jet Wash Cleaner 12V Pump Electric Car Wheel Wash Kit, price: 4000.0"
Can you find me a Orient Electric Stand-82 400 MM Oscillating Pedestal Fans | PP Plastic Stand Fan with Tilt Mechanism | High Air Delivery |... for a price below 3820.0?,"product name: Orient Electric Stand-82 400 MM Oscillating Pedestal Fans | PP Plastic Stand Fan with Tilt Mechanism | High Air Delivery |..., price: 3820.0"
"Is there any Samsung 1 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (An... available for less than 52990.0?","product name: Samsung 1 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Easy Filter Plus (An..., price: 52990.0"
Please help me find a VMTC Drain Pipe Cleaning Kit Compatible with Bosch High Pressure Car Washer Aquatak/AQT (10 Metre) that costs below 3999.0.,"product name: VMTC Drain Pipe Cleaning Kit Compatible with Bosch High Pressure Car Washer Aquatak/AQT (10 Metre), price: 3999.0"
I'm looking to buy a Havells Platina High Speed 400mm Wall Fan (White). My budget is under 4615.0.,"product name: Havells Platina High Speed 400mm Wall Fan (White), price: 4615.0"
"I wish to buy a HUL Pureit RO+MF Water Purifier - 7L, White. My price limit is 9999.0.","product name: HUL Pureit RO+MF Water Purifier - 7L, White, price: 9999.0"
I want to purchase a Tubular Inverter Battery Tray. The price should be no more than 799.0.,"product name: Tubular Inverter Battery Tray, price: 799.0"
"I'm interested in buying a Impex STEAMER-1801 Stainless Steel Electric Kettle (1.8 Litre,1500 Watts,Silver). It should be priced under 1710.0.","product name: Impex STEAMER-1801 Stainless Steel Electric Kettle (1.8 Litre,1500 Watts,Silver), price: 1710.0"
"I wish to buy a IONIX 2 Pieces Tap for RO water purifier, Compatible with Kent/Dolphin, swift, Aquafresh/many Assembled/Branded RO's, 2 pi.... My price limit is 3550.0.","product name: IONIX 2 Pieces Tap for RO water purifier, Compatible with Kent/Dolphin, swift, Aquafresh/many Assembled/Branded RO's, 2 pi..., price: 3550.0"
Can you find me a Da Anushi Split AC Service Wash Bag Cover AC Service Cleaning Cover Waterproof Indoor Unit Service Cover Bag with Drain Ou... for a price below 999.0?,"product name: Da Anushi Split AC Service Wash Bag Cover AC Service Cleaning Cover Waterproof Indoor Unit Service Cover Bag with Drain Ou..., price: 999.0"
I would like to get a Aqua Mars RO Water Purifier + Active Copper + TDS Controller + Minerals (B12/ Alkaline) 9L Premium Grey with LED Indicator. The cost should not exceed 13999.0.,"product name: Aqua Mars RO Water Purifier + Active Copper + TDS Controller + Minerals (B12/ Alkaline) 9L Premium Grey with LED Indicator, price: 13999.0"
"I'm interested in buying a Inalsa Oven MasterChef 10BK OTG (10Liters) with Temperature Selection 800 W, Powder Coated Finish, Includes Baking Pan, SS.... It should be priced under 3995.0.","product name: Inalsa Oven MasterChef 10BK OTG (10Liters) with Temperature Selection 800 W, Powder Coated Finish, Includes Baking Pan, SS..., price: 3995.0"
I'm interested in buying a Brittneymart (Best Suitable for 6.5 kg Samsung Washing Machine) Fully Fiber Premium Heavy Duty Fully Top Load Washing Mach.... It should be priced under 1299.0.,"product name: Brittneymart (Best Suitable for 6.5 kg Samsung Washing Machine) Fully Fiber Premium Heavy Duty Fully Top Load Washing Mach..., price: 1299.0"
I wish to buy a Havells Dzire 300mm Wall Fan (White). My price limit is 3895.0.,"product name: Havells Dzire 300mm Wall Fan (White), price: 3895.0"
"I'm looking to buy a Havells Grande Air Fryer With Aero Crisp Technology, 6.5 Litre Large Pan Capacity,10 Pre- Set Menu ,Touch Screen, Digital .... My budget is under 17895.0.","product name: Havells Grande Air Fryer With Aero Crisp Technology, 6.5 Litre Large Pan Capacity,10 Pre- Set Menu ,Touch Screen, Digital ..., price: 17895.0"
Can you find me a Best Whirlpool Washing Machine Compatible Semi Automatic Filter Dust Lint Bag Waste Collector Net set of 2 piece for a price below 499.0?,"product name: Best Whirlpool Washing Machine Compatible Semi Automatic Filter Dust Lint Bag Waste Collector Net set of 2 piece, price: 499.0"
I need a Sukhrup Non Stick Coated Heavy Quality Sandwich Toaster for Big Size Jumbo Bread for Kitchen Non Electric Sandwich Maker M.... It should cost less than 1299.0.,"product name: Sukhrup Non Stick Coated Heavy Quality Sandwich Toaster for Big Size Jumbo Bread for Kitchen Non Electric Sandwich Maker M..., price: 1299.0"
I wish to buy a SV Lint Filter Suitable for LG. Top Load/Loading Fully Automatic Washing Machine Magic Filter (Blue). My price limit is 329.0.,"product name: SV Lint Filter Suitable for LG. Top Load/Loading Fully Automatic Washing Machine Magic Filter (Blue), price: 329.0"
